epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,183.093,0.85652,1.47285,0.98061,0.00349,0.95652,0.38502,0.27198,0.89003,3.5721,0.96972,0.00043586,0.00043586,0.00043586
17,193.926,0.80948,1.46514,0.91879,0.00349,0.95652,0.30374,0.21083,0.96427,3.63337,1.0098,0.000450912,0.000450912,0.000450912
18,204.575,1.00681,1.46729,0.97498,0.00349,0.95652,0.28576,0.20669,0.99282,3.66178,1.02524,0.00046438,0.00046438,0.00046438
19,215.4,0.84755,1.43441,0.99651,0.00333,0.91304,0.25185,0.17377,0.95294,3.67984,1.03563,0.000476264,0.000476264,0.000476264
20,225.873,0.89682,1.48897,1.01779,0.00333,0.91304,0.24432,0.16806,0.91867,3.67559,1.0174,0.000486564,0.000486564,0.000486564
21,236.485,0.93982,1.74586,1.03794,0.00333,0.91304,0.26586,0.18264,0.91514,3.66486,1.04487,0.00049528,0.00049528,0.00049528
22,247.443,0.83739,1.39842,1.03171,0.00333,0.91304,0.33295,0.24182,0.91471,3.59397,1.04854,0.000502412,0.000502412,0.000502412
23,257.992,0.94357,1.32849,1.00921,0.01707,0.47826,0.37842,0.2456,0.93211,3.57024,1.03182,0.00050796,0.00050796,0.00050796
24,268.669,0.80387,1.29182,0.97411,1,0.16027,0.4081,0.27516,0.95563,3.54115,1.00089,0.000511924,0.000511924,0.000511924
25,279.238,0.88415,1.37443,0.96376,1,0.13204,0.41775,0.29262,0.90549,3.52027,0.96354,0.000514304,0.000514304,0.000514304
26,289.778,0.98601,1.32235,1.01681,1,0.18541,0.42998,0.31278,0.79875,3.46182,0.92475,0.0005151,0.0005151,0.0005151
27,302.871,0.84364,1.3932,1.02462,1,0.19038,0.42117,0.33568,0.71505,3.42156,0.90851,0.000514312,0.000514312,0.000514312
28,317.583,0.77978,1.15074,0.94056,1,0.19038,0.42117,0.33568,0.71505,3.42156,0.90851,0.00051194,0.00051194,0.00051194
29,332.923,0.78512,1.13252,0.89844,0.75828,0.30435,0.3458,0.29487,0.69305,3.40037,0.88682,0.000507984,0.000507984,0.000507984
30,348.634,0.95675,1.13235,0.95257,0.86041,0.30435,0.36775,0.31381,0.75172,3.35711,0.89308,0.000502444,0.000502444,0.000502444
31,361.715,0.8495,1.31115,0.91028,0.86041,0.30435,0.36775,0.31381,0.75172,3.35711,0.89308,0.00049532,0.00049532,0.00049532
32,372.377,0.90133,1.24286,0.98068,0.90844,0.30435,0.44448,0.35945,0.75346,3.21187,0.89249,0.000486612,0.000486612,0.000486612
33,382.733,0.80909,1.39661,0.97564,0.87563,0.30633,0.56952,0.45591,0.72641,3.05251,0.90114,0.00047632,0.00047632,0.00047632
34,393.393,0.79257,1.19263,0.92188,0.87563,0.30633,0.56952,0.45591,0.72641,3.05251,0.90114,0.000464444,0.000464444,0.000464444
35,404.796,0.82323,1.22712,0.94451,1,0.4197,0.61759,0.49458,0.7293,2.93825,0.90411,0.000450984,0.000450984,0.000450984
36,415.405,0.88598,1.35654,1.00916,1,0.4331,0.60831,0.50127,0.71167,2.9056,0.90612,0.00043594,0.00043594,0.00043594
37,426.441,0.70432,1.1341,0.93899,1,0.4331,0.60831,0.50127,0.71167,2.9056,0.90612,0.000419312,0.000419312,0.000419312
38,436.971,0.81258,1.15464,0.95696,0.89804,0.38362,0.53581,0.44468,0.70943,2.95624,0.90317,0.0004011,0.0004011,0.0004011
39,447.672,0.8176,1.32206,0.99382,0.80834,0.34783,0.50411,0.42237,0.70096,2.99,0.90406,0.000381304,0.000381304,0.000381304
40,458.474,0.84328,1.36837,0.97247,0.80834,0.34783,0.50411,0.42237,0.70096,2.99,0.90406,0.000359924,0.000359924,0.000359924
41,469.001,0.67576,1.52816,0.88676,0.80439,0.34783,0.50632,0.4262,0.70367,2.97107,0.89663,0.00033696,0.00033696,0.00033696
42,479.704,0.61043,1.48678,0.90452,0.89872,0.3863,0.5289,0.44615,0.70342,2.99032,0.89079,0.000312412,0.000312412,0.000312412
43,490.489,0.78449,1.65615,0.97279,0.89872,0.3863,0.5289,0.44615,0.70342,2.99032,0.89079,0.00028628,0.00028628,0.00028628
44,500.915,0.66651,1.61096,0.86152,0.9851,0.43478,0.61604,0.51539,0.67679,2.92307,0.88127,0.000258564,0.000258564,0.000258564
45,511.311,0.68052,1.47842,0.87814,0.9851,0.43478,0.61604,0.51539,0.67679,2.92307,0.88127,0.000229264,0.000229264,0.000229264
46,521.926,0.62835,1.61993,0.84265,1,0.46826,0.73327,0.63346,0.6383,2.77844,0.87327,0.00019838,0.00019838,0.00019838
47,532.428,0.64908,1.51863,0.88838,1,0.46826,0.73327,0.63346,0.6383,2.77844,0.87327,0.000165912,0.000165912,0.000165912
48,543.283,0.70334,1.63461,0.96278,1,0.55913,0.85124,0.74531,0.60381,2.59603,0.86802,0.00013186,0.00013186,0.00013186
49,553.895,0.75336,1.45134,0.9544,1,0.55913,0.85124,0.74531,0.60381,2.59603,0.86802,9.6224e-05,9.6224e-05,9.6224e-05
50,564.765,0.61542,1.47012,0.87096,1,0.67117,0.93037,0.82692,0.581,2.44536,0.86294,5.9004e-05,5.9004e-05,5.9004e-05
